Run,Execution Time (ms)
1,79.71739768981934
2,82.23652839660645
3,81.1307430267334
4,76.8430233001709
5,78.92346382141113
6,73.40073585510254
7,76.53594017028809
8,75.02126693725586
9,75.64210891723633
10,72.1290111541748
Average,77.15802192687988
