Run,Execution Time (ms)
1,19.219398498535156
2,18.761157989501953
3,18.51511001586914
4,18.174409866333008
5,18.67222785949707
6,20.33233642578125
7,18.77593994140625
8,18.714427947998047
9,18.37015151977539
10,19.077539443969727
Average,18.8612699508667
